query_idx,mab,study_product,genes,n_specific,n_plausible,model_fraction,prior_fraction,enrichment,n_unmatched,status
283,imgt:mAb_424,imgt:StudyProduct_Bristol-Myers_Squibb_Cancers_gastric_424,PDCD1,19,16,0.8421,0.5971,1.4103,3,scored
284,imgt:mAb_168,imgt:StudyProduct_NantCell_Inc_Cancers_168,IGF1R,18,5,0.2778,0.2376,1.1691,13,scored
285,imgt:mAb_98,imgt:StudyProduct_Genentech_Inc_Cancers_ovarian_98,ERBB2,18,11,0.6111,0.3911,1.5627,7,scored
286,imgt:mAb_209,imgt:StudyProduct_ImmunoGen_Inc_Transplant_rejection_209,CD6,18,8,0.4444,0.4106,1.0825,10,scored
287,imgt:mAb_522,imgt:StudyProduct_MorphoSys_Non-Hodgkins_lymphoma_(NHL)_522,CD19,18,8,0.4444,0.3803,1.1688,10,scored
288,imgt:mAb_214,imgt:StudyProduct_Regeneron_Pharmaceuticals_Inc_Retinopathy_of_Prematurity_(ROP)_214,VEGFA,20,9,0.45,0.2698,1.6681,11,scored
289,imgt:mAb_1366,imgt:StudyProduct_MD_Anderson_Cancer_Center_Hepatocellular_carcinoma_(HCC)_metastatic_1366,TNFRSF9,17,11,0.6471,0.6379,1.0143,6,scored
290,imgt:mAb_198,imgt:StudyProduct_AstraZeneca_Acute_lymphocytic_leukemia_(ALL)_198,CD22,18,9,0.5,0.3472,1.4401,9,scored
291,imgt:mAb_23,imgt:StudyProduct_MRC_Technology_Angiogenesis_23,,,,,,,,no_target_or_ot
292,imgt:mAb_64,imgt:StudyProduct_Morphotek_Inc_Cancers_pancreatic_64,MSLN,19,12,0.6316,0.4407,1.4332,7,scored
293,imgt:mAb_865,imgt:StudyProduct_Merrimack_Pharmaceuticals_Cancers_breast_865,ERBB2,18,9,0.5,0.3898,1.2826,9,scored
294,imgt:mAb_297,imgt:StudyProduct_Janssen_Biotech_Inc_Renal_cell_carcinoma_(RCC)_297,IL6,17,4,0.2353,0.2887,0.8151,13,scored
295,imgt:mAb_238,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Lymphoma_splenic_marginal_zone_(SMZL)_238,MS4A1,19,9,0.4737,0.4416,1.0725,10,scored
296,imgt:mAb_1093,imgt:StudyProduct_Akeso_Biopharma_Inc_Cancers_non-small_cell_lung_(NSCLC)_1093,PDCD1,19,15,0.7895,0.5924,1.3327,4,scored
